Site,Season,Size (mm),Eggs (Y/N),Number of Eggs,Juveniles (Y/N),Number of Juveniles,Size of Juveniles (mm)
FB005A,Winter,9.253,Y,1,N,0,0
FB005A,Winter,10.77,Y,10,N,0,0
FB005A,Winter,9.865,Y,2,N,0,0
FB005A,Winter,9.732,N,0,N,0,0
FB005A,Winter,10.349,Y,4,N,0,0
FB005A,Winter,5.625,N,0,N,0,0
FB005A,Winter,4.166,N,0,N,0,0
FB005A,Winter,6.631,N,0,N,0,0
FB005A,Winter,6.78,N,0,N,0,0
FB005A,Winter,10.094,Y,2,N,0,0
FB005A,Winter,10.601,Y,4,N,0,0
FB005A,Winter,8.54,Y,2,N,0,0
FB005A,Winter,9.505,N,0,N,0,0
FB005A,Winter,8.996,N,0,N,0,0
FB005A,Winter,10.919,Y,9,N,0,0
FB005A,Winter,7.35,N,0,N,0,0
FB005A,Winter,9.239,Y,3,N,0,0
FB005A,Winter,8.647,N,0,N,0,0
FB005A,Winter,8.644,N,0,N,0,0
FB005A,Winter,6.644,N,0,N,0,0
FB005A,Winter,6.954,N,0,N,0,0
FB005A,Winter,5.281,N,0,N,0,0
FB005A,Winter,6.809,N,0,N,0,0
FB005A,Winter,6.087,N,0,N,0,0
FB005A,Winter,7.799,N,0,N,0,0
FB005A,Winter,6.685,N,0,N,0,0
FB005A,Winter,9.526,Y,9,N,0,0
FB005A,Winter,7.659,N,0,N,0,0
FB005A,Winter,10.025,N,0,N,0,0
FB005A,Winter,11.694,Y,7,N,0,0
FB005A,Winter,9.715,N,0,N,0,0
FB005A,Winter,9.175,N,0,N,0,0
FB005A,Winter,10.907,N,0,N,0,0
FB005A,Winter,6.404,N,0,N,0,0
FB005A,Winter,5.895,N,0,N,0,0
FB005A,Winter,6.593,N,0,N,0,0
FB005A,Winter,9.4,N,0,N,0,0
FB005A,Winter,9,N,0,N,0,0
FB005A,Winter,9.319,N,0,N,0,0
FB005A,Winter,9.078,Y,7,N,0,0
FB005A,Winter,5.304,N,0,N,0,0
FB005A,Winter,11.894,Y,5,N,0,0
FB005A,Winter,6.856,N,0,N,0,0
FB005A,Winter,6.103,N,0,N,0,0
FB005A,Winter,7.856,N,0,N,0,0
FB005A,Winter,9.84,Y,3,N,0,0
FB005A,Winter,9.84,Y,3,N,0,0
FB005A,Winter,8.329,N,0,N,0,0
FB005A,Winter,11.183,N,0,N,0,0
FB005A,Winter,10.237,Y,1,N,0,0
FB005A,Winter,4.713,N,0,N,0,0
FB005A,Winter,5.042,N,0,N,0,0
FB005A,Winter,4.177,N,0,N,0,0
FB005A,Winter,3.954,N,0,N,0,0
FB005A,Winter,4.863,N,0,N,0,0
FB005A,Winter,4.776,N,0,N,0,0
FB005A,Winter,6.084,N,0,N,0,0
FB005A,Winter,6.264,N,0,N,0,0
FB005A,Winter,5.083,N,0,N,0,0
FB005A,Winter,4.787,N,0,N,0,0
FB005A,Winter,10.55,Y,2,N,0,0
FB005A,Winter,9.78,Y,6,N,0,0
FB005A,Winter,7.061,N,0,N,0,0
FB005A,Winter,9.269,Y,5,N,0,0
FB005A,Winter,5.333,N,0,N,0,0
FB005A,Winter,5.004,N,0,N,0,0
FB005A,Winter,6.132,N,0,N,0,0
FB005A,Winter,6.736,N,0,N,0,0
FB005A,Winter,6.537,N,0,N,0,0
FB005A,Winter,8.867,Y,1,N,0,0
FB005A,Winter,9.766,Y,5,N,0,0
FB005A,Winter,6.695,N,0,N,0,0
FB005A,Winter,4.124,N,0,N,0,0
FB005A,Winter,4.853,N,0,N,0,0
FB005A,Winter,4.351,N,0,N,0,0
FB005A,Winter,9.176,N,0,N,0,0
FB005A,Winter,7.465,N,0,N,0,0
FB005A,Winter,4.338,N,0,N,0,0
FB005A,Winter,8.167,N,0,N,0,0
FB005A,Winter,10.193,Y,3,N,0,0
FB005A,Winter,5.725,N,0,N,0,0
FB005A,Winter,7.689,N,0,N,0,0
FB005A,Winter,6.835,N,0,N,0,0
FB005A,Winter,6.762,N,0,N,0,0
FB005A,Winter,6.843,N,0,N,0,0
FB005A,Winter,9.362,N,0,N,0,0
FB005A,Winter,6.832,N,0,N,0,0
FB005A,Winter,8.634,N,0,N,0,0
FB005A,Winter,9.262,Y,3,N,0,0
FB005A,Winter,6.177,N,0,N,0,0
FB005A,Winter,6.138,N,0,N,0,0
FB005A,Winter,8.036,Y,5,N,0,0
FB005A,Winter,9.108,Y,2,N,0,0
FB005A,Winter,10.747,N,0,N,0,0
FB005A,Winter,7.527,N,0,N,0,0
FB005A,Winter,8.965,Y,3,N,0,0
FB005A,Winter,12.899,Y,8,N,0,0
FB005A,Winter,9.636,Y,6,N,0,0
FB005A,Winter,10.175,N,0,N,0,0
FB005A,Winter,9.109,Y,4,N,0,0
FB005A,Spring,5.792,N,0,N,0,0
FB005A,Spring,5.793,N,0,N,0,0
FB005A,Spring,4.651,N,0,N,0,0
FB005A,Spring,5.657,N,0,N,0,0
FB005A,Spring,10.707,Y,5,N,0,0
FB005A,Spring,5.987,N,0,N,0,0
FB005A,Spring,3.926,N,0,N,0,0
FB005A,Spring,6.613,N,0,N,0,0
FB005A,Spring,10.74,Y,4,N,0,0
FB005A,Spring,11.072,Y,15,N,0,0
FB005A,Spring,5.074,N,0,N,0,0
FB005A,Spring,6.053,N,0,N,0,0
FB005A,Spring,12.991,Y,22,N,0,0
FB005A,Spring,7.362,N,0,N,0,0
FB005A,Spring,6.264,N,0,N,0,0
FB005A,Spring,6.471,N,0,N,0,0
FB005A,Spring,10.789,Y,8,N,0,0
FB005A,Spring,7.885,N,0,N,0,0
FB005A,Spring,12.343,Y,26,N,0,0
FB005A,Spring,7.457,N,0,N,0,0
FB005A,Spring,7.237,N,0,N,0,0
FB005A,Spring,7.895,N,0,N,0,0
FB005A,Spring,7.705,N,0,N,0,0
FB005A,Spring,7.685,N,0,N,0,0
FB005A,Spring,9.293,N,0,N,0,0
FB005A,Spring,9.142,N,0,N,0,0
FB005A,Spring,11.262,N,0,N,0,0
FB005A,Spring,11.863,Y,7,N,0,0
FB005A,Spring,2.747,N,0,N,0,0
FB005A,Spring,4.434,N,0,N,0,0
FB005A,Spring,5.298,N,0,N,0,0
